iter	Passed	Remaining
935	9774	668
936	9783	657
937	9792	647
938	9801	636
939	9810	626
940	9820	615
941	9830	605
942	9840	594
943	9851	584
944	9861	573
945	9871	563
946	9882	553
947	9891	542
948	9901	532
949	9910	521
950	9919	511
951	9929	500
952	9938	490
953	9947	479
954	9957	469
955	9966	458
956	9975	448
957	9984	437
958	9993	427
959	10002	416
960	10012	406
961	10020	395
962	10029	385
963	10038	374
964	10048	364
965	10057	353
966	10066	343
967	10075	333
968	10084	322
969	10093	312
970	10103	301
971	10112	291
972	10122	280
973	10131	270
974	10141	260
975	10150	249
976	10160	239
977	10170	228
978	10179	218
979	10188	207
980	10197	197
981	10206	187
982	10216	176
983	10225	166
984	10234	155
985	10244	145
986	10252	135
987	10262	124
988	10271	114
989	10281	103
990	10291	93
991	10300	83
992	10309	72
993	10318	62
994	10328	51
995	10337	41
996	10347	31
997	10356	20
998	10366	10
999	10376	0
